government,last_name,first_name,title,district,party,first_elected,next_election,url,,phone,street_address,street_address_cont,city,state,zip,email,twitter,facebook,description
Hamilton County,Skillern,Fred,County Commissioner,1,R,,2014,http://www.hamiltontn.gov/Commission/districts/1.aspx, ,(423)332-3143,625 Georgia Ave.,401 Courthouse,Chattanooga,TN,37402,,,,
Hamilton County,Fields,James,County Commissioner,2,R,,2014,http://www.hamiltontn.gov/Commission/districts/2.aspx, ,(423)260-1674,625 Georgia Ave.,401 Courthouse,Chattanooga,TN,37402,,,,
Hamilton County,Haynes,Marty,County Commissioner,3,R,,2014,http://www.hamiltontn.gov/Commission/districts/3.aspx, ,(423) 209-7200,625 Georgia Ave.,401 Courthouse,Chattanooga,TN,37402,,,,
Hamilton County,Mackey,Warren,County Commissioner,4,D,,2014,http://www.hamiltontn.gov/Commission/districts/4.aspx, ,(423) 209-7200,625 Georgia Ave.,401 Courthouse,Chattanooga,TN,37402,,,,
Hamilton County,Beck,Gregory,County Commissioner,5,D,,2014,http://www.hamiltontn.gov/Commission/districts/5.aspx, ,(423)209-7200,625 Georgia Ave.,401 Courthouse,Chattanooga,TN,37402,,,,
Hamilton County,Graham,Joe,County Commissioner,6,R,2010,2014,http://www.hamiltontn.gov/Commission/districts/6.aspx, ,(423) 209-7200,625 Georgia Ave.,401 Courthouse,Chattanooga,TN,37402,,,,
Hamilton County,Henry,Larry,County Commissioner,7,R,,2014,http://www.hamiltontn.gov/Commission/districts/7.aspx, ,(423)209-7200,625 Georgia Ave.,401 Courthouse,Chattanooga,TN,37402,,,,
Hamilton County,Boyd,Tim,County Commissioner,8,R,2010,2014,http://www.hamiltontn.gov/Commission/districts/8.aspx, ,(423)209-7200,625 Georgia Ave.,401 Courthouse,Chattanooga,TN,37402,,,,
Hamilton County,Bankston,Chester,County Commissioner,9,R,,2014,http://www.hamiltontn.gov/Commission/districts/9.aspx, ,(423)209-7200,625 Georgia Ave.,401 Courthouse,Chattanooga,TN,37402,,,,
,,,,,,,,,,,,,,,,,,,
Hamilton County,Coppinger,Jim,Mayor,,R,,2014,http://www.hamiltontn.gov/mayor/Default.aspx, ,423-209-6100,625 Georgia Ave.,208 Courthouse,Chattanooga,TN,37402,countymayor@hamiltontn.gov,,,
Hamilton County,Hammond,Jim,Sheriff,,R,,2014,http://www.hcsheriff.gov/, ,(423) 209-7000,600 Market St.,1st Floor,Chattanooga,TN,37402,jhammond@hcsheriff.gov,,,
Hamilton County,Bennett,Bill,Assessor of Property,,R,1994,2014,http://www.hamiltontn.gov/Assessor/, ,423-209-7300,6135 Heritage Park Drive,Bonny Oaks,Chattanooga,TN,37416,bbennett@hamiltontn.gov,,,
Hamilton County,Knowles,William,County Clerk,,R,1974,2014,http://www.countyclerkanytime.com, ,423-209-6500,625 Georgia Ave.,201 Courthouse,Chattanooga,TN,37402,BillK@mail.HamiltonTN.gov,,,
Hamilton County,Hurst,Pam,Register of Deeds,,R,,2014,http://www.hamiltontn.gov/register/, ,423-209-6560,625 Georgia Ave.,400 Courthouse,Chattanooga,TN,37402,,,,
Hamilton County,Hullander,Bill,County Trustee,,R,,2014,http://www.hamiltontn.gov/trustee/, ,423-209-7270,625 Georgia Ave.,Room 210,Chattanooga,TN,37402,bhullander@hamiltontn.gov,,,
Hamilton County,Thompson,Paula,Circuit Court Clerk,,D,,2014,http://www.Hamiltontn.gov/Courts/CircuitClerk, ,423-209-6700,625 Georgia Ave.,Room 500,Chattanooga,TN,37402,paulat@mail.hamiltontn.gov,,,
Hamilton County,Tidwell,Gwen,Criminal Court Clerk,,D,,2014,http://www.HamiltonTN.gov/Courts/CriminalClerk, ,423-209-7500,600 Market St.,Room 102,Chattanooga,TN,37402,GwenT@mail.HamiltonTN.gov,,,
Hamilton County,Behler,Gary,Juvenile Court Clerk,,R,,2014,http://www.HamiltonTN.gov/Courts/JuvenileClerk, ,423-209-5100,1600 E. 3rd St.,,Chattanooga,TN,37404,,,,
,,,,,,,,,,,,,,,,,,,
Hamilton County,Brown,Frank,"Chancery Court Chancellor, Part I",Part I,R,1998,2014,http://www.hamiltontn.gov/Courts/Chancery, ,209-7380,625 Georgia Ave.,Suite 311,Chattanooga,TN,37402,,,,
Hamilton County,Atherton,Jeffrey,"Chancery Court Chancellor, Part II",Part II,R,2010,2014,http://www.hamiltontn.gov/Courts/Chancery, ,209-7385,625 Georgia Ave.,Suite 311,Chattanooga,TN,37402,,,,
Hamilton County,Bolton,Jacqueline,"Circuit Court Judge, Division I",Division I,D,1998,2014,http://www.Hamiltontn.gov/Courts/CircuitClerk, ,423-209-7393,625 Georgia Ave.,Suite 308,Chattanooga,TN,37402,,,,
Hamilton County,Hollingsworth,Jeff,"Circuit Court Judge, Division II",Division II,,2006,2014,http://www.Hamiltontn.gov/Courts/CircuitClerk, ,423-209-6760,625 Georgia Ave.,Suite 206,Chattanooga,TN,37402,,,,
Hamilton County,Williams,Marie,"Circuit Court Judge, Division III",Division III,R,1995,2014,http://www.Hamiltontn.gov/Courts/CircuitClerk, ,423-209-6747,625 Georgia Ave.,Suite 308,Chattanooga,TN,37402,,,,
Hamilton County,Thomas,Neil,"Circuit Court Judge, Division IV",Division IV,R,1997,2014,http://www.Hamiltontn.gov/Courts/CircuitClerk, ,423-209-6755,625 Georgia Ave.,Suite 206,Chattanooga,TN,37402,,,,
